placeid,start_hour,end_hour,average_duration,average_max_participants,amt,weight_avg,name,latitude,longitude
760,18.21574344023324,18.62390670553936,0.4081632653061224,2.151603498542274,364,2.1942307692307694,Carrefour Express,50.87902096,4.703237335
761,15.892857142857142,16.321428571428573,0.4285714285714285,3.107142857142857,36,6.347222222222222,,,
843,18.0,18.43010752688172,0.4301075268817204,2.0,98,0.7530612244897958,Carrefour Express,50.880237,4.6973208
854,16.42578125,17.15234375,0.7265625,3.25390625,285,7.614035087719298,Spar,50.8807415,4.694759945
858,13.301242236024844,13.987577639751551,0.6863354037267081,3.9472049689440993,375,9.4232,Delhaize Leuven,50.8795488,4.6988345
871,16.47826086956522,16.47826086956522,0.0,4.0,28,2.0,Circle,50.8801027,4.6977556
876,15.329411764705885,15.588235294117649,0.2588235294117647,3.541176470588235,98,5.801020408163265,,,
885,10.88888888888889,11.88888888888889,1.0,5.666666666666667,10,16.6,Miscellaneous ,50.86447788,4.693981111
950,15.428571428571429,15.428571428571429,0.0,2.0,8,0.4,Mini Market,50.8804731,4.7110495
1178,17.11111111111111,17.333333333333332,0.2222222222222222,2.888888888888889,13,5.615384615384615,Supermarket Asia & More ,50.8963183,4.7080114
1417,17.2,18.2,1.0,11.7,20,7.375,Lidl,,
1480,14.56,15.2,0.64,2.0,27,3.9814814814814814,Panos,50.8794931,4.7001154
1947,18.428571428571427,18.428571428571427,0.0,1.0,7,0.0,Hal 5,50.88321555,4.721954395
2091,13.0,13.0,0.0,,5,10.0,Dr Blues,50.8751718,4.6970712
2188,13.0,13.0,0.0,3.0,1,10.0,OHL stadium,50.86790417,4.693608284
2210,17.733333333333334,17.733333333333334,0.0,5.226666666666667,88,14.261363636363637,Miscellaneous ,50.8826066,4.717408106
2593,11.5,11.5,0.0,4.0,2,3.0,Miscellaneous ,50.8773251,4.698164613
2642,17.233333333333334,17.233333333333334,0.0,3.066666666666667,35,4.0771428571428565,Exotic World,50.88109575,4.69001766
2759,15.176470588235292,15.176470588235292,0.0,3.0,20,4.75,Mediterranee Markt,50.8778262,4.711448894
2766,16.906666666666666,17.906666666666666,1.0,1.3066666666666666,75,4.826666666666667,Shop & Go Delhaize,50.88185015,4.713092813
