,activity_id,date_start,date_end,placeid,description,is_done,max_participants,feedback_due
0,481609,2024-11-16T18:25:00+01:00,2024-11-16T18:55:00+01:00,854,"Meeting point: Outside the shop  Closest HUB - AGORA learning centre (for bread only) or Hal5.   Wait outside the shop for other volunteers.  Do not forget to bring your own bags for the pickup.  If it's too much to carry, please ask for additional help via the Whatsapp group. The entire quantity has to be picked up. Excess must be dropped at the hub.  Post a picture of the hub on FB/ig to inform others of the food (Read the detailed description of the pickup before your first pickup)",TRUE,3,2024-12-16T18:55:00+01:00
1,481581,2024-11-16T17:55:00+01:00,2024-11-16T18:25:00+01:00,858,"Meeting point: just inside the shop (read full info by clicking on the shop's name above!)  ⌚ You _can not_ enter after closing time, so be on time!   Closest HUB: Hub Agora  Do not forget to bring your own bags.  It can be a lot so bring enough bags! the entire quantity has to be picked up. The excess can be dropped at hubs  Post a picture of the hub on FB/ig to inform other members about the food. (Read the detailed description of the pickup before your first pickup).",TRUE,5,2024-12-16T18:25:00+01:00
2,481330,2024-11-15T20:15:00+01:00,2024-11-15T20:45:00+01:00,760,"Meeting point: Outside the shop   Closest HUB - AGORA learning centre (for bread only) or Hal5.  Do not forget to bring your own bags for the pickup.  In case there is too much food to carry, please ask for additional help on the WhatsApp group. The entire quantity has to be picked up. The excess must be dropped at the hub.  Post a picture of the hub on FB/ig to inform other members about the food. (Read the detailed description of the pickup before your first pickup).",TRUE,2,2024-12-15T20:45:00+01:00
3,479076,2024-11-15T19:55:00+01:00,2024-11-15T20:25:00+01:00,2766,"- Closest HUB - AGORA learning centre (for bread only). If there is a lot of fresh food try to redistribute it in the facebook and whatsapp.  - Do not forget to bring your own bags for the pickup. - If it's too much to carry, please ask for additional help via the Whatsapp group. The entire quantity has to be picked up. Excess must be dropped at the hub. - Post a picture of the hub on FB/ig to inform others of the food (Read the detailed description of the pickup before your first pickup)",TRUE,1,2024-12-15T20:25:00+01:00
4,479019,2024-11-15T19:00:00+01:00,2024-11-15T19:30:00+01:00,2642,"Meeting point: Outside the shop   Closest HUB - AGORA learning centre (for bread only)  Don't forget to bring your own bags.  In case of too much food to carry, please ask for additional help via WhatsApp group. Excess must be dropped at the hub.  However, most of food is packaged. So, if it is too much, it can be collected in next pick up.  Post a picture of the hub on FB/ig to inform other members about the food. (Read the detailed description of the pickup before first pickup)",TRUE,3,2024-12-15T19:30:00+01:00
5,481249,2024-11-15T18:25:00+01:00,2024-11-15T18:55:00+01:00,858,"Meeting point: just inside the shop (read full info by clicking on the shop's name above!)  ⌚ You _can not_ enter after closing time, so be on time!   Closest HUB: Hub Agora  Do not forget to bring your own bags.  It can be a lot so bring enough bags! the entire quantity has to be picked up. The excess can be dropped at hubs  Post a picture of the hub on FB/ig to inform other members about the food. (Read the detailed description of the pickup before your first pickup).",TRUE,6,2024-12-15T18:55:00+01:00
6,480970,2024-11-14T20:15:00+01:00,2024-11-14T20:45:00+01:00,760,"Meeting point: Outside the shop   Closest HUB - AGORA learning centre (for bread only) or Hal5.  Do not forget to bring your own bags for the pickup.  In case there is too much food to carry, please ask for additional help on the WhatsApp group. The entire quantity has to be picked up. The excess must be dropped at the hub.  Post a picture of the hub on FB/ig to inform other members about the food. (Read the detailed description of the pickup before your first pickup).",TRUE,2,2024-12-14T20:45:00+01:00
7,478711,2024-11-14T19:55:00+01:00,2024-11-14T20:25:00+01:00,2766,"- Closest HUB - AGORA learning centre (for bread only). If there is a lot of fresh food try to redistribute it in the facebook and whatsapp.  - Do not forget to bring your own bags for the pickup. - If it's too much to carry, please ask for additional help via the Whatsapp group. The entire quantity has to be picked up. Excess must be dropped at the hub. - Post a picture of the hub on FB/ig to inform others of the food (Read the detailed description of the pickup before your first pickup)",TRUE,1,2024-12-14T20:25:00+01:00
8,480876,2024-11-14T18:25:00+01:00,2024-11-14T18:55:00+01:00,858,"Meeting point: just inside the shop (read full info by clicking on the shop's name above!)  ⌚ You _can not_ enter after closing time, so be on time!   Closest HUB: Hub Agora  Do not forget to bring your own bags.  It can be a lot so bring enough bags! the entire quantity has to be picked up. The excess can be dropped at hubs  Post a picture of the hub on FB/ig to inform other members about the food. (Read the detailed description of the pickup before your first pickup).",TRUE,5,2024-12-14T18:55:00+01:00
9,480174,2024-11-12T18:25:00+01:00,2024-11-12T18:55:00+01:00,858,"Meeting point: just inside the shop (read full info by clicking on the shop's name above!)  ⌚ You _can not_ enter after closing time, so be on time!   Closest HUB: Hub Agora  Do not forget to bring your own bags.  It can be a lot so bring enough bags! the entire quantity has to be picked up. The excess can be dropped at hubs  Post a picture of the hub on FB/ig to inform other members about the food. (Read the detailed description of the pickup before your first pickup).",TRUE,5,2024-12-12T18:55:00+01:00
10,479892,2024-11-11T19:50:00+01:00,2024-11-11T20:20:00+01:00,854,"Meeting point: Outside the shop  Closest HUB - AGORA learning centre (for bread only) or Hal5.  Wait outside the shop for other volunteers.  Do not forget to bring your own bags for the pickup.  If it's too much to carry, please ask for additional help via the Whatsapp group. The entire quantity has to be picked up. Excess must be dropped at the hub.  Post a picture of the hub on FB/ig to inform others of the food (Read the detailed description of the pickup before your first pickup).",TRUE,3,2024-12-11T20:20:00+01:00
11,479512,2024-11-10T12:25:00+01:00,2024-11-10T12:55:00+01:00,854,"Meeting point: Outside the shop  Closest HUB - AGORA learning centre (for bread only) or Hal5.   Wait outside the shop for other volunteers.  Do not forget to bring your own bags for the pickup.  If it's too much to carry, please ask for additional help via the Whatsapp group. The entire quantity has to be picked up. Excess must be dropped at the hub.  Post a picture of the hub on FB/ig to inform others of the food (Read the detailed description of the pickup before your first pickup)",TRUE,2,2024-12-10T12:55:00+01:00
12,477129,2024-11-09T18:55:00+01:00,2024-11-09T19:25:00+01:00,2766,"Meeting point: Outside the shop Closest HUB - AGORA learning centre (for bread only) Wait outside the shop for other volunteers. Do not forget to bring your own bags for the pickup. If it's too much to carry, please ask for additional help via the Whatsapp group. The entire quantity has to be picked up. Excess must be dropped at the hub. Post a picture of the hub on FB/ig to inform others of the food (Read the detailed description of the pickup before your first pickup)",TRUE,2,2024-12-09T19:25:00+01:00
