,userid,activity_id,join_date
0,12899,481609,2024-11-15T17:14:26.242280Z
1,6108,481609,2024-11-15T20:34:36.798360Z
2,16248,481609,2024-11-15T20:36:21.153325Z
3,17933,481581,2024-11-12T12:34:58.524724Z
4,16214,481581,2024-11-15T08:53:30.830372Z
5,17852,481581,2024-11-15T09:54:54.457966Z
6,14411,481581,2024-11-15T19:00:13.576982Z
7,17438,481581,2024-11-16T15:57:14.880321Z
8,2769,481330,2024-11-15T13:57:04.995647Z
9,15945,479076,2024-11-01T19:06:56.747483Z
10,15907,479019,2024-11-01T19:42:55.510095Z
11,12271,479019,2024-11-01T20:28:38.864537Z
12,17368,479019,2024-11-02T14:15:18.725310Z
13,15907,481249,2024-11-09T08:20:34.877495Z
14,17933,481249,2024-11-09T17:07:44.224096Z
15,13071,481249,2024-11-12T17:55:07.854925Z
16,11009,481249,2024-11-13T19:34:12.279770Z
17,16602,481249,2024-11-13T22:23:07.480326Z
18,3368,480970,2024-11-12T14:03:45.310153Z
19,13155,478711,2024-10-31T19:36:02.841707Z
20,17933,480876,2024-11-09T17:07:24.010888Z
21,15907,480876,2024-11-12T23:04:49.053737Z
22,6719,480876,2024-11-13T10:16:03.945065Z
23,16462,480876,2024-11-14T16:24:31.937097Z
24,17933,480174,2024-11-08T07:14:24.672414Z
25,15907,480174,2024-11-09T08:19:56.361786Z
26,16118,480174,2024-11-09T21:04:57.479867Z
27,16399,480174,2024-11-10T18:25:47.530227Z
28,10315,480174,2024-11-10T23:00:36.929093Z
29,6108,479892,2024-11-04T19:01:00.675371Z
30,16248,479892,2024-11-04T19:01:03.394242Z
31,12871,479892,2024-11-05T07:25:09.013580Z
32,13155,479512,2024-11-03T20:40:15.381437Z
33,16248,479512,2024-11-03T20:53:42.635907Z
34,17541,477129,2024-10-26T17:25:14.267870Z
35,15907,477129,2024-10-27T19:45:53.302282Z
36,15907,479365,2024-11-06T21:04:04.747806Z
37,17933,479365,2024-11-08T07:13:46.155158Z
38,16214,479365,2024-11-08T15:11:29.410652Z
39,14411,479365,2024-11-08T23:29:25.888717Z
40,6693,479365,2024-11-09T09:44:14.696290Z
41,17852,476820,2024-10-25T19:47:51.300210Z
42,16248,479092,2024-11-02T07:56:31.588889Z
43,6108,479092,2024-11-02T07:56:32.800381Z
44,12871,479092,2024-11-02T07:56:34.254933Z
45,13155,476764,2024-10-25T17:06:38.706558Z
46,2789,476764,2024-10-25T21:21:55.016552Z
47,2834,476764,2024-10-26T12:40:23.848330Z
48,15907,479036,2024-11-04T16:19:19.988902Z
49,6659,479036,2024-11-06T07:56:12.286537Z
50,15283,479036,2024-11-06T14:52:45.113539Z
51,15562,479036,2024-11-07T08:54:16.697529Z
52,3109,479036,2024-11-07T20:47:52.410172Z
53,11009,479036,2024-11-08T04:04:01.395757Z
54,13155,478749,2024-11-07T16:47:50.760099Z
55,17541,478725,2024-11-01T14:14:07.846402Z
56,4719,478725,2024-11-01T23:43:57.425327Z
57,15907,478675,2024-11-06T08:43:43.708911Z
58,2834,478675,2024-11-06T15:02:14.234110Z
59,15760,478675,2024-11-06T18:04:10.685754Z
60,17438,478384,2024-11-01T13:32:27.097152Z
61,15945,478384,2024-11-05T16:36:03.654956Z
62,16602,478384,2024-11-06T14:11:41.891496Z
63,17933,478336,2024-11-04T17:03:14.032543Z
64,10315,478336,2024-11-06T10:25:37.086662Z
65,15760,478336,2024-11-06T11:24:29.815851Z
66,8294,478336,2024-11-06T14:09:48.081419Z
67,15919,478336,2024-11-06T15:55:24.573720Z
68,16602,478058,2024-11-05T12:12:26.698137Z
69,2769,478058,2024-11-05T14:34:13.148428Z
