,activity_id,join_date,userid,weight,feedback
0,481609,2024-11-16T19:37:03.575551Z,16248,0.0,
1,481581,2024-11-16T18:39:25.724286Z,17933,0.1,
2,481330,2024-11-16T15:05:40.050020Z,2769,1.0,
3,479076,2024-11-15T19:48:08.385199Z,15945,6.0,"the guy working there was super kind: got 6 ready-made meals 1 pasta 
 3 broccoli-salmon pies 
 one salad with egg 
 one salad with quinoa 
 sweet potato 
 2 packs of vegan “meat”"
4,479019,2024-11-16T14:44:53.508255Z,15907,12.0,"canned jackfruit 
 seasoning for meat 
 mayonaise"
5,481249,2024-11-16T14:41:49.509263Z,15907,25.0,
6,480970,2024-11-16T00:06:49.236166Z,3368,1.0,2 bags of salads
7,478711,2024-11-14T19:26:52.641181Z,13155,2.5,"got a bag of potatoes 
 1 pax pre-cut vegetables 
 champignon soup"
8,480876,2024-11-14T20:23:43.847155Z,17933,0.1,"some bread 
 some pastries"
9,480876,2024-11-15T10:21:41.804880Z,16462,0.0,"some pastry 
 some bread 
 small corn"
10,480876,2024-11-15T17:03:29.635614Z,15907,12.0,
11,480174,2024-11-12T19:23:08.856242Z,17933,0.5,pastries
12,479892,2024-11-12T17:49:39.056215Z,16248,16.0,"several packs of meat beef 
 pork 
 4 roast chickens 
 salmon 
 a variety of vegetables 
 pre-cut fruit 
 there was no bread 
 only a few pastries"
13,479512,2024-11-10T12:05:07.539015Z,13155,12.0,"mainly breads 
 pastry 
 butalso got 4 green onions 
 mushroom 
 milk 
 some desserts/yoghurt 
 pre cut fruits 
 some small  pizza"
14,477129,2024-11-10T15:12:09.573794Z,15907,5.0,"we saved about 5 kg bread 
 some fruit"
15,479365,2024-11-10T15:11:32.102140Z,15907,0.0,
16,476820,2024-11-16T16:57:06.886001Z,17852,0.0,
17,479092,2024-11-09T17:38:07.917418Z,16248,8.0,"almost no food waste today at spar 
 only 9 bread loaves 
 tomatoes 
 he said he was from food saving but not registered today 
 he asked us very kindly ifcould share some bread with him 
 soshared all the collected food with him"
18,476764,2024-11-08T18:34:41.627806Z,13155,4.0,"mostly instant noodles 
 several jar of suriname sambal 
 knorr sauce for marination 
 2 jars of fruit jam"
19,479036,2024-11-12T07:57:55.307959Z,6659,0.0,"it was mainly bread 
 small bread"
20,478749,2024-11-07T19:26:01.636691Z,13155,0.5,
21,478725,2024-11-07T21:56:56.101340Z,4719,8.0,"veggies 
 lne prepared meal 
 bread"
22,478675,2024-11-07T21:08:41.270611Z,15907,30.0,
23,478384,2024-11-06T19:16:49.765189Z,15945,0.0,
24,478336,2024-11-07T08:01:13.292218Z,17933,0.0,
25,478058,2024-11-05T19:31:57.859478Z,2769,1.0,"some bread 
 veggie salad 
 chopped sausages"
26,478028,2024-11-07T13:56:33.350564Z,17541,12.0,
27,477974,2024-11-05T20:21:01.036622Z,15907,10.0,
28,477974,2024-11-14T16:19:52.079118Z,16462,0.0,"we took approximately 3 bags of pastry 
 some onion salad 
 there were not that much bread though"
29,477726,2024-11-04T20:55:25.814435Z,3368,1.0,some pastry
30,477700,2024-11-04T20:13:48.608938Z,15945,11.0,"quite a bit of bread 
 4 pastries 
 some boxes of fruit 
 4 eggs 
 i took 4 large loaves of bread to agora:"
31,477664,2024-11-05T08:24:32.058125Z,15907,15.0,
32,477246,2024-11-03T15:08:04.865785Z,6108,11.0,"bread 
 pastries"
33,477184,2024-11-05T17:42:19.337724Z,17541,1.0,
34,477132,2024-11-02T17:46:36.850459Z,2769,5.0,"got mostly pastry 
 bread"
35,477132,2024-11-04T17:22:47.310258Z,4719,0.0,got lots of bread :
36,477109,2024-11-03T23:52:49.315090Z,15907,25.0,total amount of saved food: about 25 kg
37,476836,2024-11-01T19:19:32.758357Z,16248,7.0,"some bread rolls 
 regular bread loaves 
 some artisan bread 
 4 packages of sliced bread"
38,474564,2024-11-01T19:25:02.809952Z,15945,0.0,everyone arrived:collected 8 packets of noodles
39,476495,2024-11-01T09:30:55.281105Z,3368,1.0,"two packages of meat balls 
 one of salad 
 wok veggies"
40,476475,2024-11-01T09:28:11.330001Z,3368,0.0,
41,474253,2024-10-31T19:40:16.655492Z,13155,10.0,"got 1 pastry 
 no bread 
 2 salads 
 1 pre cook meals 
 2 pasta 
 eggs 
 1 pax of fish 
 mango 
 1 bag of potatoes 
 3 vegetables smoothies"
42,476422,2024-10-31T18:57:02.236486Z,17933,0.0,a little bread
43,476422,2024-11-01T09:27:26.566396Z,3368,10.0,"mainly bread 
 some croissants"
44,476093,2024-10-30T18:04:07.916900Z,15907,9.0,
45,475733,2024-10-30T18:03:47.576410Z,15907,15.0,
46,473228,2024-11-05T17:41:41.853255Z,17541,12.0,
47,475434,2024-10-28T19:32:05.993693Z,13155,16.0,"several dessert /sweets 
 eggs s 
 2 pax of eggs spaghetti but one of them already rotten 
 around 15 pastries 
 small breads"
48,475396,2024-11-02T21:50:20.512042Z,2834,0.0,"mainly bread 
 pastries 
 some vegetables kori 
 the extra bread was put in agora"
49,475046,2024-10-27T17:12:37.924592Z,16248,9.0,"pre cut vegetables 
 4 packages of lettuce 
 large bread loaves 
 bread rolls 
 some pastries"
50,472696,2024-10-27T19:47:45.108549Z,15907,3.5,
51,474909,2024-10-26T19:33:36.430530Z,17933,1.5,we took bread
52,474909,2024-10-26T20:07:50.574294Z,16248,20.0,"awad was not present but her friendly little son managed to collect the food for his mom 
 mainly got classic bread loaves 
 artisan bread along with about 40 pastries 
 20 bread rolls 
 all green sticker food items are collected in a green box which is disposed next to the bread corner"
53,474636,2024-10-25T22:29:18.504500Z,16248,13.0,large bread loaves
54,472324,2024-10-25T17:46:19.448583Z,15907,15.0,
55,474581,2024-10-25T17:45:26.472638Z,15907,40.0,
56,474581,2024-10-25T19:07:50.968301Z,17933,2.0,we take breads
57,474267,2024-10-24T18:54:28.254846Z,2834,0.0,"2 packages of slices fruit 
 pastries 
 plenty of bread"
58,474267,2024-11-05T17:41:08.552896Z,17541,10.0,
59,474218,2024-10-25T17:45:03.181197Z,15907,30.0,
