,userid,trust_level,added_date
0,12881,0,"Oct 31, 2024, 1:08 PM"
1,15945,0,"Oct 30, 2024, 7:00 AM"
2,15980,0,"Oct 29, 2024, 8:00 PM"
3,8826,0,"Oct 29, 2024, 7:56 PM"
4,17438,0,"Oct 29, 2024, 7:56 PM"
5,2769,0,"Oct 29, 2024, 7:54 PM"
6,16306,0,"Oct 29, 2024, 7:52 PM"
7,13471,0,"Oct 29, 2024, 7:51 PM"
8,16118,0,"Oct 23, 2024, 10:17 AM"
9,16645,0,"Oct 15, 2024, 12:38 PM"
10,16214,0,"Sep 30, 2024, 9:19 PM"
11,9079,0,"Sep 27, 2024, 4:47 PM"
12,16462,0,"Sep 26, 2024, 8:38 PM"
13,12271,0,"Sep 26, 2024, 8:19 PM"
14,12826,0,"Sep 26, 2024, 8:12 PM"
15,2916,0,"Sep 26, 2024, 8:12 PM"
16,17850,0,"Sep 18, 2024, 7:36 PM"
17,6659,0,"Sep 18, 2024, 7:32 PM"
18,17933,0,"Sep 11, 2024, 11:08 AM"
19,6735,0,"Aug 13, 2024, 9:36 PM"
20,17833,0,"Aug 6, 2024, 8:28 PM"
21,8294,0,"Jul 25, 2024, 9:58 PM"
22,17210,3,"Jul 25, 2024, 9:36 PM"
23,16399,0,"Jul 18, 2024, 4:43 PM"
24,15644,0,"Jul 18, 2024, 4:42 PM"
25,17787,3,"Jul 12, 2024, 5:02 PM"
26,14774,3,"Jul 12, 2024, 5:02 PM"
27,17758,0,"Jul 10, 2024, 8:55 AM"
28,4456,0,"Jun 14, 2024, 3:04 PM"
29,14411,0,"Jun 12, 2024, 2:09 PM"
30,15919,1,"Jun 10, 2024, 10:17 PM"
31,7929,0,"Apr 26, 2024, 12:54 PM"
32,5889,0,"Apr 24, 2024, 1:14 PM"
33,16010,1,"Apr 22, 2024, 7:34 PM"
34,16377,0,"Apr 11, 2024, 7:36 PM"
35,2789,5,"Mar 19, 2024, 12:54 PM"
36,3109,2,"Feb 11, 2024, 9:24 PM"
37,14081,3,"Feb 11, 2024, 9:21 PM"
38,12876,1,"Dec 7, 2023, 7:59 PM"
39,11136,6,"Dec 4, 2023, 6:27 PM"
40,9936,3,"Dec 2, 2023, 12:06 PM"
41,15564,0,"Nov 29, 2023, 7:51 AM"
42,16555,0,"Nov 29, 2023, 7:48 AM"
43,2834,5,"Nov 29, 2023, 7:47 AM"
44,17645,0,"Oct 31, 2023, 3:21 PM"
45,15402,0,"Oct 29, 2023, 10:23 PM"
46,16145,4,"Oct 21, 2023, 9:20 PM"
47,17852,1,"Oct 20, 2023, 10:57 AM"
48,10990,0,"Oct 9, 2023, 2:50 PM"
49,13197,0,"Oct 9, 2023, 10:28 AM"
50,10315,2,"Oct 5, 2023, 6:15 PM"
51,17773,2,"Oct 4, 2023, 2:38 PM"
52,17029,0,"Oct 4, 2023, 10:46 AM"
53,15129,1,"Oct 3, 2023, 7:50 PM"
54,14529,2,"Sep 30, 2023, 10:10 PM"
55,17541,3,"Sep 28, 2023, 3:32 PM"
56,16858,0,"Sep 24, 2023, 7:25 PM"
57,6108,3,"Sep 24, 2023, 9:19 AM"
58,16248,6,"Sep 24, 2023, 9:18 AM"
59,12799,0,"Sep 20, 2023, 9:53 PM"
