,name,placeid,meeting_point,instructions,store_log,address,latitude,longitude,status
0,Spar,854,Outside the shop,"You can expect anything from this shop, but usually quite some bread and packaged food.
Redistribution: We have agreed with the store to always take everything. If it is too much, please redistribute it yourself (eg through our [Facebook group](https://www.facebook.com/groups/868489653274177)) or help drop it at one of the HUBs.
The pick up is at 19hr50 (7:50 pm). Be there on time (preferably a few minutes earlier).
Wait outside the entrance for other volunteers to join and go inside together so we don't bother the shop employees multiple times.
Let them know that you are from 'Food Saving Leuven' and are here to pick up leftover food.
Please do not leave anything at the shop, take everything!
If it's too much, the one who can best place the bread in front of his/her house can take it and post it in the Facebook group or help bring everything to a HUB, eg HUB Hal5 - please do not leave anything at the shop, take everything! ","[2021/11] Ali and Kranti went there and spoke to the employees. They are on TGTG, they give food at a lower price + the employees take it away if anything remains. So practically nothing remains. However, Ali will still try to confirm with the manager.
[2021/05] Kranti, Bianca and Villi went, they are on TGTG, but possibly interested in giving bread, however the manager was busy, we have to return to establish contact further.","Brusselsestraat 124, Leuven, Flemish Brabant, 3000, Belgium",50.8807415,4.694759945,active
1,Shop & Go Delhaize,2766,Outside the shop,"You can expect anything from this shop, but usually quite some packaged food.
Redistribution: we have agreed with the store to always take everything, so if it is too much, please redistribute it yourself (eg through our Facebook group) or help drop it at one of the HUBs.
The pick up is at 19hr55 (7:55 pm). Be there on time (preferably a few minutes earlier). 
Wait outside the entrance for other volunteers to join (if others have signed up too).
Let them know that you are from 'Food Saving Leuven' and you are here to pick leftover food. 
Usually, the content is enough for one person to carry.
Please do not leave anything at the shop, take everything! If it's too much to carry, please ask for additional help via the Whatsapp group, but don't leave it behind.
If it's too much for you to consume, the one who can best place the bread in front of his/her house can take it and post it in the Facebook group or help bring everything to a HUB, eg HUB Hal5.","It was very easy to talk to the owner! He is really kind. The shop has very reduced amounts of food waste during the weekdays. However, he said we can go every day they are open to get whatever they have.","Diestsestraat 228, Leuven, Flemish Brabant, 3000, Belgium",50.88185015,4.713092813,active
2,Exotic World,2642,In front of the store - contact the lady at the counter,"Usually packaged items past their best-before date, can be a lot or a few, so be prepared for huge amounts.
Redistribution: If there is too much food, please redistribute it to others yourself (eg through our [Facebook group](https://www.facebook.com/groups/868489653274177)) or help drop it at one of the HUBs.",,"Brusselsestraat 44, Leuven, Flemish Brabant, 3000, Belgium",50.88109575,4.69001766,active
3,Delhaize Leuven,858,Outside the shop,"Mainly bread and pastries, can be a lot, so be prepared for huge amounts.
Redistribution: We agreed with the store to always take everything! If it is too much, please redistribute it yourself (eg through our [Facebook group](https://www.facebook.com/groups/868489653274177)) or help drop it at one of the HUBs. 
The pickup is at closing time  [18hr30 (6:30pm) on weekdays, 18hr (6:00pm) on Saturday]. 
You should be there a few minutes in advance because you won't be able to enter once the shop has closed (the sliding doors won't open).
You can gather outside the shop if you are very early.
Around one to two minutes before closing time, enter the sliding doors and wait there on the left side where the shopping baskets are. (If it's bad weather, you can gather here somewhat earlier as well instead of waiting outside, just make sure that customers can still pass easily.).
Wait there until an employee signals you that you can go collect the food. On busy days, this might take a few minutes after closing time, when the remaining customers have left.
Take all freshly baked, whole breads and pastries (not the prepackaged sliced breads). Use your own bags (the breads are 'lost' for the shop, but the bags of the shop are still usable, so avoid taking them!). This can be a lot, bring lots of shopping bags!
Check all fridges for products with a yellow discount sticker/label and take them if they are expired. Always check the actual expiration date! Sometimes the yellow label is already there even if it only expires the next day instead of today. (On Saturdays: you can also take it if it expires on Sunday as the shop is closed then.).
Sometimes an employee has already collected these yellow-sticker items, they will usually be between the bread and the fresh vegetables.
Occasionally there are also pre-packaged sliced breads with such a yellow label, the same rules apply: check date!
Everything that you collected with a yellow discount label (i.e. everything except fresh whole bread and pastries) will still need to be scanned by the employees. Make it easy and quick for them: show 1 product and say how many of that product there were in total.
Please do not leave anything at the shop, take everything! If it's too much to carry, please ask for additional help via the Whatsapp group, but don't leave it behind.
If it's too much for you to consume, the one who can best place the bread in front of his/her house can take it and post it in the Facebook group or help bring everything to a HUB, eg HUB Hal5.
Note: if you were late and could not get in because the door is closed (to be avoided!!), don't bother the employees by trying to get in and just wait outside till ones that did get in have come out again and see if you can redistribute if needed (assuming you weren't the only one for that pick-up slot).","[17/12/2022] Pickups Restarted
The pickup timing now changed to the evening (18h30). They also agreed to give away food other than just bread.
 [22/09/2022] PICKUPS TEMPORARILY SUSPENDED.
Since we don't have a proper hub at the moment, and the number of volunteers has decreased, we have suspended this pickup until we can manage to do it again. 
[10/11/2021] Pickup on Tuesdays removed.
Students are back in Leuven and they usually buy up all the bread on Mondays, so almost no leftovers on Tuesday.
[26/05/2021] We can come every day except Mondays.
[21/05/2021] YES they are in.
The manager just called and we may come for a first pickup on. Wednesday morning. I assume they then tell us the next day, I expect this in the long term to be +-3 times a week or daily. It will be bread in the beginning, maybe one day more. We meet at the front door in Brusselsestraat. The shop opens at 8.00. We can come just before that, it will still be closed but there is a doorbell.
[20/05/2021] Kranti, Bianca and Villi went, looks like he is willing to collaborate, he is calling us back soon.","Brusselsestraat 31, Leuven, Flemish Brabant, 3000, Belgium",50.8795488,4.6988345,active
4,Carrefour Express,760,Outside the shop,"You can expect anything from this shop, but usually quite some packaged food.
Redistribution: we have agreed with the store to always take everything, so if it is too much, please redistribute it yourself (eg through our Facebook group) or help drop it at one of the HUBs.
The pick up is at 20hr15 (8:15 pm). Be there on time (preferably a few minutes earlier). 
Wait outside the entrance for other volunteers to join. 
Let them know that you are from 'Food Saving Leuven' and you are here to pick leftover food. The manager will be around cleaning up. He does not speak much English and only a little Dutch. But he is very nice.
Usually, the content is enough for one person to carry, but there are two spots to ensure everything can be carried. 
Please do not leave anything at the shop, take everything! If it's too much to carry, please ask for additional help via the Whatsapp group, but don't leave it behind.
If it's too much for you to consume, the one who can best place the bread in front of his/her house can take it and post it in the Facebook group or help bring everything to a HUB, eg HUB Hal5.","During corona, the shop closed. and wasn't open until May 2022.
[09/06/2022] Ali and Fernando went to the store and the managers are willing to cooperate. Very managers are kind and their names are (approx) Hanne (M) and Nabila (F). ","Rector de Somerplein 12, Leuven, Flemish Brabant, 3000, Belgium",50.87902096,4.703237335,active
5,Carrefour Express,843,Outside the shop,"Mainly bread and pastries.
Redistribution: we have agreed with the store to always take everything if it is too much, please redistribute it yourself (eg through our Facebook group) or help drop it at one of the HUBs.
The pick up is at 19hr55 (7.55 pm) - 5 min before the closing time. Be there on time. 
Wait outside the entrance for others (who have signed up for pickup). When complete, go in.
Let them know that you are from 'FSL' and are here to pick up leftover food. The manager will redirect you to the shelves or show you the food that you can take. 
Usually, the content is enough for one person to carry. However, in the rare circumstances that it is too much - we have added two slots for the pickup. 
Please do not leave anything at the shop, take everything! If it's too much to carry, please ask for additional help via the Whatsapp group, but don't leave it behind.
If it's too much for you to consume, the one who can best place the bread in front of his/her house can take it and post it in the Facebook group or help bring everything to a HUB, eg HUB Hal5.","[2021/11] Ali and Kranti visited the shops. They already give food on TGTG and to a person who feeds it to animals. Despite all that, they still throw away a bit of bread (especially on Wednesdays and Thursdays). Ali and Kranti will monitor for the next few weeks before creating fixed pick-up spots in the activities. 
[2021/05] not interested, they are using TGTG  to handle food waste.","Brusselsestraat 60, Leuven, Flemish Brabant, 3000, Belgium",50.880237,4.6973208,active
6,Mediterranee Markt,2759,Outside the garage door next to the shop ,"Mainly fruits and vegetables, can be a lot, so be prepared for huge amounts.
Redistribution: Take all the fruits and vegetables that you can. The fruits and vegetables that are too spoilt for consumption can be thrown in the shop's bin. If it is too much, please redistribute it yourself (eg through our Facebook group).
The pick-up time is at 17:00 (5:00 PM). Please be there on time.
Gather outside the garage door adjacent to the shop entrance with other volunteers who have signed up for the pickup. Once everyone has arrived, proceed into the shop, greet the shop owner, identify yourselves as representatives of 'FSL,' and request to collect leftover food. The manager will guide you to the garage and showcase the available food items.
The food often consists of fruits and vegetables, some of which may be in poor condition. Please sort and separate the edible items from the spoiled ones. Dispose of the non-edible items in the bin in the garage. 
If the load is too heavy, please ask for additional help via the Whatsapp group of Facebook page.
Since fruits and vegetables are perishable and we currently lack. designated hubs for storage, please distribute them among friends and family. You can also notify other volunteers via WhatsApp or Facebook to collect the surplus food from your location. ","[19/08/2023] Pickup closed. They now have an agreement with their supplier to give back the leftovers in exchange for newer fresher stocks, so they would not give it us to anymore.
[17/12/2022] Pickups Restarted
UPDATE by Hazel: The shop owner has been changed today. New ones look nice too.
I would recommend to meet all in front of the garage entrance , Maria Theresiastraat 50 and one person goes in with bags to tell the shop owner, back to waiting in front of garage. They do not like to see us in the shop and also they have very small entrance too.","Maria-Theresiastraat 52, Leuven, Flemish Brabant, 3000, Belgium",50.8778262,4.711448894,inactive
7,Dr Blues,2091,,,Beers from 'dr blues' every now and then.,"Redingenhof, Janseniushof, Leuven, Flemish Brabant, 3000, Belgium",50.8751718,4.6970712,active
8,Miscellaneous ,2593,,,"This is an annual activity. 
This is an invitation from fellow food-saving Leuven member Ingrid Wevers.
She is organising a dance event to which 100 foreign dancers are invited. It is for 2 days (29th March and 1st April). Food will be served at the event as a buffet in the cafeteria of a local school. 
They would like us to collect the remaining food to prevent it from being wasted. They will have the food ready for someone to pick up in food-safe buckets with a lid on (sauce buckets), but someone must pick it up all at once because they have to rush for the next performance. ","Parijsstraat 70, Leuven, Flemish Brabant, 3000, Belgium",50.8773251,4.698164613,inactive
10,Hal 5,1947,,,"Update: Closed.
Drop-off point, next to HET PERRON there is an allocated spot (incl.fridge).
handy for sharing food that needs to stay refrigerated.
please keep in mind that this HUB is especially meant to provide food to those who would go without otherwise.","Locomotievenstraat, Leuven, Flemish Brabant, 3010, Belgium",50.88321555,4.721954395,active
